,District_Name,SCHOOL,Gender,2011_Total,%0-5_Points,%6-10_Points,%11-15_Points,%16-20_Points,%21-25_Points,2012_Total,%0-5_Points.1,%6-10_Points.1,%11-15_Points.1,%16-20_Points.1,%21-25_Points.1,2013_Total,%0-5_Points.2,%6-10_Points.2,%11-15_Points.2,%16-20_Points.2,2014_Total,%0-5_Points.3,%6-10_Points.3,%11-15_Points.3,%16-20_Points.3,2015_Total,%0-5_Points.4,%6-10_Points.4,%11-15_Points.4,%16-20_Points.4
3631,MASINDI_Total,"ST.THEREZA_GIRLS'_SS,MASINDI",Total,764.0,31.4,44.5,18.8,5.0,0.3,754.0,28.9,41.4,22.7,6.0,1.1,1714.0,40.0,44.0,14.4,1.6,741.0,41.7,39.7,16.1,2.6,702.0,38.2,41.9,12.5,0.7
3648,KIRYANDONGO_Total,PANYADOLI_SECONDARY_SCHOOL,Total,217.0,25.8,41.9,25.8,6.5,0.0,279.0,19.0,41.6,25.8,11.5,2.2,658.0,47.1,30.7,20.7,1.5,342.0,42.1,31.9,23.4,2.6,312.0,25.9,46.2,20.2,1.9
3663,NEBBI_Total,URINGI_SECONDARY_SCHOOL,Total,350.0,50.0,38.0,11.4,0.6,0.0,321.0,45.2,38.9,12.8,3.1,0.0,610.0,64.3,32.8,2.6,0.3,231.0,56.7,36.8,5.6,0.9,210.0,58.5,31.9,3.3,0.0
3671,KYANKWANZI_Total,"ST.JOSEPH'S_SECONDARY_SCHOOL,VVUMBA",Total,61.0,26.2,41.0,24.6,8.2,0.0,94.0,28.7,33.0,28.7,7.4,2.1,314.0,39.5,47.1,12.1,1.3,126.0,33.3,37.3,21.4,7.9,118.0,32.9,48.3,15.3,0.0
3678,KAABONG_Total,POPE_JOHN_PAUL_II_MEMORIAL_COLLEGE,Total,111.0,37.8,50.5,10.8,0.9,0.0,98.0,29.6,53.1,16.3,1.0,0.0,144.0,54.2,33.3,12.5,0.0,68.0,42.6,45.6,11.8,0.0,48.0,37.7,47.9,10.4,2.1
3725,KABAROLE_Total,"ST.PAUL_SECONDARY_SCHOOL,RWENGOMA",Total,1159.0,31.0,39.5,20.1,8.4,1.0,1286.0,27.7,40.8,23.3,7.7,0.5,2784.0,45.9,38.9,13.1,2.1,1373.0,38.3,35.1,22.4,4.2,1137.0,42.5,41.2,9.5,0.6
3754,KAMWENGE_Total,ST.THOMAS_AQUINAS_COL.KAMWENGE,Total,313.0,24.6,42.5,25.2,6.4,1.3,368.0,28.0,37.0,25.5,9.2,0.3,994.0,51.3,39.6,8.9,0.2,488.0,52.7,36.1,10.0,1.2,406.0,44.0,37.7,9.4,0.5
3765,AMOLATAR_Total,NAMASALE_SEED_SECONDARY_SCHOOL,Total,43.0,46.5,25.6,20.9,4.7,2.3,62.0,32.3,41.9,17.7,8.1,0.0,246.0,65.9,27.6,6.5,0.0,68.0,73.5,23.5,2.9,0.0,44.0,55.8,29.5,2.3,0.0
3826,KASESE_Total,"STANDARD_HIGH_SCHOOL,NYAMWAMBA",Total,1167.0,32.3,46.8,18.0,2.8,0.1,1247.0,31.7,43.9,19.8,4.4,0.2,2804.0,49.1,39.2,10.7,1.0,1112.0,40.7,43.7,14.4,1.2,1062.0,40.3,46.6,8.9,0.5
3873,RAKAI_Total,"ST.RAPHAEL'S_SECONDARY_SCHOOL,KABIRA",Total,651.0,13.5,38.4,33.9,12.7,1.4,822.0,15.1,38.6,30.8,13.9,1.7,1592.0,33.0,40.2,22.6,4.1,733.0,33.0,39.7,22.5,4.8,586.0,27.6,48.6,19.6,1.9
3914,KIRUHURA_Total,"UNIVERSAL_SECONDARY_SCHOOL,NYABUSHOZI",Total,434.0,30.2,40.3,22.1,7.4,0.0,631.0,38.7,40.7,15.8,4.4,0.3,1068.0,57.9,32.6,9.0,0.6,485.0,51.1,34.6,12.4,1.9,449.0,54.4,31.8,6.9,0.0
3915,Grand_Total,"UNIVERSAL_SECONDARY_SCHOOL,NYABUSHOZI",Total,103681.0,22.5,34.9,25.7,13.6,3.3,111358.0,20.8,36.3,27.1,12.7,3.1,232258.0,37.2,37.3,20.4,5.1,108263.0,30.8,36.4,24.5,8.4,100705.0,30.1,43.0,20.0,3.1
