,District_Name,SCHOOL,Gender,2011_Total,%0-5_Points,%6-10_Points,%11-15_Points,%16-20_Points,%21-25_Points,2012_Total,%0-5_Points.1,%6-10_Points.1,%11-15_Points.1,%16-20_Points.1,%21-25_Points.1,2013_Total,%0-5_Points.2,%6-10_Points.2,%11-15_Points.2,%16-20_Points.2,2014_Total,%0-5_Points.3,%6-10_Points.3,%11-15_Points.3,%16-20_Points.3,2015_Total,%0-5_Points.4,%6-10_Points.4,%11-15_Points.4,%16-20_Points.4
1687,AMURIA_Total,"ST.PETER'S_SECONDARY_SCHOOL,ACOWA",Total,143.0,37.1,45.5,15.4,2.1,0.0,181.0,25.4,49.7,20.4,4.4,0.0,400.0,49.0,43.0,7.5,0.5,185.0,61.6,29.7,8.6,0.0,191.0,55.9,31.4,3.1,0.0
1718,MANAFWA_Total,WABWALA_SECONDARY_SCHOOL,Total,383.0,49.3,37.3,12.3,1.0,0.0,423.0,40.9,46.3,11.3,1.2,0.2,1066.0,65.5,31.1,3.4,0.0,525.0,56.6,34.5,8.4,0.6,391.0,56.9,33.0,4.9,0.0
2075,KAMPALA_Total,"WORDSWORTH_SECONDARY_SCHOOL,KAMPALA",Total,17150.0,20.7,31.4,27.1,17.3,3.6,17291.0,16.6,33.3,29.8,16.5,3.8,32602.0,30.8,36.5,25.7,7.0,15306.0,22.6,35.8,30.9,10.7,14135.0,25.3,45.0,23.4,3.3
2124,MUBENDE_Total,"UNIVERSAL_COLLEGE,MUBENDE",Total,601.0,21.6,42.1,26.3,9.3,0.7,648.0,22.2,44.0,25.0,7.9,0.9,1494.0,43.9,38.8,15.1,2.1,778.0,43.7,41.3,13.5,1.5,669.0,38.5,42.9,12.3,0.9
2209,KABALE_Total,"ST.PAUL'S_SEMINARY,KABALE",Total,2296.0,24.5,35.1,25.7,12.8,1.8,2485.0,25.8,35.0,26.6,11.2,1.4,5370.0,40.9,36.9,18.5,3.7,2384.0,38.3,34.6,21.7,5.4,2311.0,38.1,42.9,12.4,1.3
2220,BUKWO_Total,"ST.JOSEPH'S_SECONDARY_SCHOOL,BUKWO",Total,244.0,28.3,51.6,16.8,3.3,0.0,332.0,38.6,46.4,14.2,0.9,0.0,794.0,59.7,37.0,3.3,0.0,311.0,57.6,34.1,7.7,0.6,244.0,55.0,29.5,6.1,0.0
2241,KYENJOJO_Total,"ST.JOSEPH'S_HILL_SS,_KYEMBOGO",Total,196.0,38.3,45.9,12.2,3.6,0.0,248.0,27.8,40.3,26.2,4.8,0.8,698.0,54.2,38.1,7.2,0.6,325.0,44.6,37.8,16.0,1.5,297.0,33.1,49.8,13.1,0.0
2284,KAYUNGA_Total,"YALE_HIGH_SCHOOL,KAYUNGA",Total,1254.0,13.7,33.6,32.8,16.1,3.8,1235.0,11.7,34.9,34.8,15.7,2.8,2636.0,29.1,39.9,26.3,4.8,1169.0,21.5,39.9,29.5,9.2,1051.0,22.2,52.1,21.2,2.4
2310,LWENGO_Total,TIMOTHY_GIRLS_HIGH_SCHOOL,Total,395.0,19.7,41.8,28.6,9.4,0.5,374.0,20.3,42.5,28.1,8.0,1.1,976.0,31.6,49.6,18.0,0.8,441.0,28.1,42.2,24.9,4.8,404.0,22.9,48.0,25.5,1.2
2321,DOKOLO_Total,ST.JOHN_BOSCO_DOKOL0_SECONDARY_SCHOOL,Total,103.0,51.5,37.9,7.8,2.9,0.0,78.0,41.0,38.5,12.8,5.1,2.6,198.0,74.7,21.2,4.0,0.0,102.0,66.7,31.4,2.0,0.0,62.0,62.0,32.3,0.0,0.0
2349,MAYUGE_Total,"TAWHEED_ACADEMIC_INSTITUTE,MAYUGE",Total,322.0,27.0,37.0,25.8,8.4,1.9,422.0,27.7,44.1,20.4,6.4,1.4,1118.0,57.2,36.0,6.6,0.2,466.0,47.9,32.0,17.4,2.8,430.0,46.7,36.7,9.8,0.5
2378,BUGIRI_MAIN_Total,"TOWN_VIEW_SECONDARY_SCHOOL,BUGIRI",Total,629.0,47.7,38.2,12.9,1.1,0.2,678.0,38.9,46.3,12.7,1.9,0.1,1344.0,67.0,24.9,8.0,0.1,587.0,63.0,27.4,8.3,1.2,496.0,50.8,33.5,6.3,0.2
2445,BUSHENYI_MAIN_Total,"VINE_HIGH_SCHOOL,KYEIZOBA",Total,2232.0,9.4,27.4,33.2,23.7,6.4,2502.0,9.6,31.9,33.9,20.7,4.0,5094.0,25.0,39.3,30.2,5.5,2571.0,21.2,36.3,32.0,10.5,2395.0,25.4,46.4,22.3,3.1
2459,ADJUMANI_Total,"ST.MARY_ASSUMPTA_SECONDARY_SCHOOL,PAKELE",Total,163.0,52.8,38.0,8.6,0.6,0.0,146.0,45.9,40.4,13.0,0.7,0.0,372.0,61.3,31.7,7.0,0.0,122.0,53.3,36.9,9.0,0.8,80.0,60.6,32.5,1.3,0.0
2464,KALANGALA_Total,SERWANGA-LWANGA_MEMORIAL_SCHOOL,Total,77.0,16.9,31.2,35.1,16.9,0.0,62.0,14.5,38.7,27.4,17.7,1.6,106.0,26.4,39.6,26.4,7.5,39.0,23.1,48.7,28.2,0.0,51.0,37.9,49.0,9.8,0.0
2510,SHEEMA_Total,TYE_SECONDARY_SCHOOL,Total,1037.0,20.9,38.1,29.6,10.5,0.9,1190.0,21.7,38.7,28.4,10.0,1.2,2646.0,37.8,42.5,17.5,2.2,1214.0,31.7,41.8,22.7,3.9,1161.0,36.3,44.4,14.2,0.6
2528,BUTALEJA_Total,MULAGI_GIRLS_SECONDARY_SCHOOL,Total,365.0,34.5,45.5,15.9,3.6,0.5,417.0,37.2,38.6,20.1,3.8,0.2,818.0,62.8,28.9,8.1,0.2,353.0,56.4,35.4,7.4,0.8,285.0,54.8,32.3,2.8,0.0
2541,GOMBA_Total,"ST.LEONARD'S_SECONDARY_SCHOOL,MADDU",Total,153.0,19.0,38.6,26.1,13.1,3.3,136.0,18.4,44.1,27.2,7.4,2.9,322.0,30.4,41.6,23.6,4.3,139.0,43.9,23.7,28.8,3.6,159.0,33.1,36.5,22.0,0.6
2610,IGANGA_Total,WAITAMBOGWE_SECONDARY_SCHOOL,Total,1979.0,36.4,39.3,17.0,6.0,1.3,1949.0,30.7,41.1,19.8,6.8,1.6,4650.0,47.9,36.5,12.5,3.1,2020.0,39.7,36.3,17.9,6.0,1847.0,33.7,43.7,15.1,3.0
2619,BULAMBULI_Total,TUNYI_GIRLS'_SECONDARY_SCHOOL,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,75.4,19.2,5.4,0.0,101.0,58.4,30.7,9.9,1.0,95.0,52.5,34.7,5.3,0.0
2639,KITGUM_MAIN_Total,Y.Y.OKOT_GIRLS'_MEMORIAL_SCHOOL,Total,434.0,36.6,42.9,18.0,2.5,0.0,427.0,27.6,49.6,19.0,3.7,0.0,1056.0,50.6,38.8,10.2,0.4,540.0,49.6,39.1,10.7,0.6,451.0,46.4,36.6,9.5,0.0
2654,BUKOMANSIMBI_Total,"ST.VICTOR'S_SECONDARY_SCHOOL,KITAASA",Total,109.0,18.3,41.3,26.6,11.9,1.8,143.0,21.7,40.6,29.4,7.7,0.7,384.0,33.3,49.5,14.6,2.6,166.0,30.1,44.6,22.9,2.4,147.0,19.2,55.8,20.4,0.0
2663,LYANTONDE_Total,"ST.JOHN'S_COMPREHENSIVE_SS,LYANTONDE",Total,149.0,33.6,36.2,25.5,4.7,0.0,206.0,30.6,35.9,23.3,9.2,1.0,408.0,38.7,46.6,13.2,1.5,191.0,40.8,39.3,17.3,2.6,157.0,29.0,51.6,16.6,0.6
2672,AGAGO_Total,"ST.CHARLES_LWANGA_COLLEGE,KALONGO",Total,80.0,46.3,42.5,8.8,2.5,0.0,79.0,22.8,44.3,24.1,8.9,0.0,206.0,59.2,32.0,7.8,1.0,78.0,65.4,17.9,16.7,0.0,49.0,43.5,42.9,8.2,0.0
2729,MASAKA_MAIN_Total,"STELLA_MARIS_SECONDARY_SCHOOL,NYENDO",Total,2195.0,15.3,34.1,32.1,16.5,2.0,2219.0,15.4,38.6,30.3,13.2,2.5,4500.0,28.9,42.2,23.5,5.4,2055.0,22.2,38.1,29.1,10.5,1854.0,23.6,45.6,24.8,4.2
2777,RUKUNGIRI_Total,"ST.PETER'S_SECONDARY_SCHOOL,NYARUSHANJE",Total,1053.0,25.5,35.5,20.2,14.2,4.6,1068.0,25.1,33.7,23.0,13.9,4.3,2342.0,39.3,31.3,20.7,8.7,1176.0,33.8,31.2,20.7,14.3,1125.0,34.3,38.5,18.2,5.0
2886,MBARARA_Total,"WESTERN_COLLEGE,MBARARA",Total,2498.0,28.4,37.6,16.1,11.0,6.8,2776.0,28.8,35.4,18.5,12.2,5.2,5770.0,46.6,28.8,16.4,8.2,2894.0,39.3,30.2,19.7,10.9,2768.0,40.3,33.8,16.1,3.9
2926,IBANDA_Total,"ST.LAWRENCE_HIGH_SCHOOL,IBANDA",Total,819.0,20.8,39.6,25.9,11.7,2.1,1052.0,18.1,37.1,29.7,12.7,2.5,2106.0,38.8,37.6,18.9,4.7,1107.0,30.8,37.7,22.4,9.1,1005.0,31.1,40.9,21.0,3.0
2971,KAMULI_Total,"STANDARD_COLLEGE,BUWAGI",Total,606.0,25.4,45.2,21.9,7.1,0.3,679.0,32.5,44.8,18.1,4.1,0.4,1654.0,54.5,35.9,8.8,0.7,604.0,49.7,32.5,15.4,2.5,606.0,40.5,42.9,11.1,0.3
2986,KAPCHORWA_Total,"TOWNVIEW_SECONDARY_SCHOOL,KAPCHORWA",Total,460.0,30.9,44.1,20.9,3.9,0.2,488.0,30.9,43.4,21.5,4.1,0.0,1128.0,60.6,31.7,7.4,0.2,467.0,48.2,39.6,10.9,1.3,359.0,42.7,38.4,11.7,0.6
